"";"diputadoId";"nombre";"distrito";"bloqueId";"color";"bloque";"bloqueAbreviado";"periodo";"cluster"
"755";755;"SPATOLA, Paola Rosana";"Buenos Aires";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;4
"7561";756;"STELLA, Anibal Jesus";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;2
"7572";757;"STOLBIZER, Margarita Rosa";"Buenos Aires";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"7582";758;"STORANI, Federico Teobaldo";"Buenos Aires";147;"#d62728";"Unión Cívica Radical";"UCR";2005;2
"7602";760;"STORERO, Hugo";"Santa Fe";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"763";763;"SYLVESTRE BEGNIS, Juan Héctor";"Santa Fe";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"7642";764;"TANONI, Enrique";"Salta";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"7652";765;"TATE, Alicia Ester";"Santa Fe";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"768";768;"THOMAS, Enrique Luis";"Mendoza";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"7702";770;"TINNIRELLO, Carlos Alberto";"Cdad.Aut.Bs.As.";126;"#ffffff";"Red de Encuentro Social";"Red de Encuentro Social";2005;2
"7712";771;"TOLEDO, Hugo David";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;2
